client_id,symbol,holding_period,total_proceeds_usd,total_cost_basis_usd,net_gain_loss_usd,disallowed_wash_sale_loss_usd,est_tax_liability_usd,lot_count
CL-1000,TCASH-USD,short_term,3829.2778000000003,5229.1536,-1399.8757999999993,0.0,429.4373760000001,4
CL-1000,TCORP-HY,short_term,1254.5355,2054.0505,-799.5149999999999,0.0,0.0,1
CL-1000,TEQ-MSFT,short_term,32.2353,977.7054,0.0,945.4701000000001,0.0,2
CL-1000,TEQ-NVDA,short_term,2595.0675,2445.0889,149.97860000000037,0.0,47.993152000000116,3
CL-1000,TREIT-A,short_term,3527.8615,4342.364799999999,-814.5032999999993,0.0,0.0,3
CL-1001,TBOND-24,short_term,87.0453,815.5128,0.0,728.4675,0.0,1
CL-1001,TCASH-USD,short_term,8844.8297,9965.6916,999.9286999999997,2120.7906000000003,687.1771839999999,4
CL-1001,TEQ-MSFT,short_term,2569.6944000000003,2737.1344000000004,-167.44000000000005,0.0,0.0,1
CL-1001,TEQ-NVDA,short_term,1097.7687,1277.2190999999998,295.466,474.91639999999995,94.54912,3
CL-1001,TREIT-A,short_term,131.6777,1489.2179,0.0,1357.5402000000001,0.0,1
CL-1002,TBOND-24,short_term,257.4546,5075.244000000001,-4817.789400000001,0.0,9.12576,2
CL-1002,TCASH-USD,short_term,8590.7552,5948.7172,2644.681199999999,2.6432000000000073,949.410048,4
CL-1002,TCORP-HY,short_term,405.7248,1832.6047999999998,0.0,1426.8799999999999,0.0,1
CL-1002,TEQ-MSFT,short_term,710.0496,1398.8308,15.523200000000088,704.3044,4.967424000000029,2
CL-1002,TEQ-NVDA,short_term,1167.063,5279.2515,-4112.1885,0.0,0.0,1
CL-1002,TREIT-A,short_term,2514.0216,8634.4496,-992.3866,5128.0414,42.25478400000001,5
CL-1003,TBOND-24,short_term,4715.5272,2121.0869,2594.4403,0.0,830.220896,3
CL-1003,TCASH-USD,short_term,906.7450999999999,799.9144999999999,106.8306,0.0,34.185792,1
CL-1003,TCORP-HY,short_term,558.1972,900.8208,-342.6236,0.0,0.0,1
CL-1003,TREIT-A,short_term,1618.9171000000001,2328.508,-709.5909,0.0,0.0,2
CL-1004,TBOND-24,short_term,12578.695600000001,12060.828599999999,1485.5086000000008,967.6415999999995,593.4065920000002,4
CL-1004,TCASH-USD,short_term,3952.9330999999993,4966.038,1221.0197999999996,2234.1247,390.7263359999999,5
CL-1004,TCORP-HY,short_term,1746.3911000000003,2033.752,-287.3608999999996,0.0,14.026592000000042,2
CL-1004,TEQ-MSFT,short_term,172.528,611.0229999999999,-438.4949999999999,0.0,0.0,1
CL-1004,TREIT-A,short_term,6474.121099999999,8806.143199999999,-1516.0670999999998,815.9549999999999,13.337567999999992,4
CL-1005,TCASH-USD,short_term,5477.303099999999,9774.237000000001,1446.4670999999998,5743.401000000001,462.869472,4
CL-1005,TEQ-NVDA,short_term,1715.8839999999998,2531.7484,0.0,815.8644000000002,0.0,1
CL-1005,TREIT-A,short_term,147.5467,197.8119,-50.26520000000002,0.0,0.0,1
CL-1006,TBOND-24,short_term,4898.2035,9829.0655,-4930.862,0.0,133.72009599999998,5
CL-1006,TCASH-USD,short_term,328.6874,1423.5396,0.0,1094.8521999999998,0.0,2
CL-1006,TCORP-HY,short_term,2137.8098,238.6832,1899.1266,0.0,607.720512,1
CL-1006,TEQ-MSFT,short_term,343.1105,584.2753,-241.1648,0.0,0.0,1
CL-1006,TEQ-NVDA,short_term,809.9100000000001,1189.1484,-236.16000000000003,143.07840000000004,0.0,2
CL-1007,TBOND-24,short_term,7876.121700000001,9235.43,-748.1065,611.2018,187.36000000000007,6
CL-1007,TCORP-HY,short_term,171.21720000000002,317.262,0.0,146.04479999999998,0.0,1
CL-1007,TEQ-MSFT,short_term,6518.9659,1204.1731,5314.7928,0.0,1700.7336960000002,4
CL-1007,TEQ-NVDA,short_term,5231.006799999999,4597.638,2081.7517999999995,1448.3830000000003,666.1605759999999,3
CL-1007,TREIT-A,short_term,3377.556,2128.308,1249.248,0.0,399.75936,1
CL-1008,TBOND-24,short_term,10635.5568,8337.297,2298.2598,0.0,768.2088000000001,2
CL-1008,TEQ-MSFT,short_term,3637.5809999999997,3973.578,0.0,335.9970000000003,0.0,1
CL-1008,TREIT-A,short_term,1046.1235,1208.7314999999999,-162.6079999999999,0.0,51.719360000000016,3
CL-1009,TBOND-24,short_term,463.4379,4973.698600000001,29.9375,4540.198200000001,9.58,4
CL-1009,TCASH-USD,short_term,589.6814999999999,605.1276,227.4934,242.9395,72.797888,2
CL-1009,TEQ-MSFT,short_term,4824.1071999999995,6417.4637,-1593.3565000000003,0.0,43.27014400000004,5
CL-1009,TEQ-NVDA,short_term,4440.922500000001,7622.9823,-1775.3567999999998,1406.703,0.0,3
CL-1010,TBOND-24,short_term,1621.3686,143.057,1478.3116,0.0,473.059712,2
CL-1010,TCASH-USD,short_term,675.1481,504.7728,170.37529999999998,0.0,54.520095999999995,1
CL-1010,TCORP-HY,short_term,4972.128000000001,3505.6135,1466.5145000000002,0.0,469.2846400000001,2
CL-1010,TEQ-MSFT,short_term,4110.2793,3608.2009,502.07840000000033,0.0,495.4460800000001,3
CL-1010,TEQ-NVDA,short_term,287.0307,272.5974,14.433300000000031,0.0,4.61865600000001,1
CL-1010,TREIT-A,short_term,4421.1727,288.2852,4132.8875,0.0,1322.524,1
CL-1011,TBOND-24,short_term,456.78540000000004,474.9105,0.0,18.125099999999975,0.0,1
CL-1011,TCASH-USD,short_term,5974.021999999999,2446.2789999999995,3715.814,188.071,1189.0604799999999,4
CL-1011,TCORP-HY,short_term,1126.1185,2503.7564,-1377.6379000000002,0.0,226.512224,3
CL-1011,TEQ-MSFT,short_term,6314.4039,8729.9043,-2415.5004000000004,0.0,84.07302400000007,3
CL-1011,TEQ-NVDA,short_term,1666.47,1543.6255999999996,193.32840000000002,70.4839999999997,61.86508800000001,2
CL-1011,TREIT-A,short_term,807.7839999999999,1168.4008000000001,0.0,360.61680000000024,0.0,1
CL-1012,TBOND-24,long_term,2131.3541999999998,6.3627,2124.9914999999996,0.0,382.49846999999994,1
CL-1012,TBOND-24,short_term,286.6248,3.9116,282.7132,0.0,90.46822399999999,1
CL-1012,TCASH-USD,short_term,9166.8186,16679.283499999998,0.0,7512.4649,0.0,4
CL-1012,TCORP-HY,short_term,5945.1115,4418.0076,1542.7039,15.600000000000136,602.1592,5
CL-1012,TEQ-MSFT,short_term,7818.6186,4695.698,3122.9206000000004,0.0,1101.9734720000001,2
CL-1012,TEQ-NVDA,short_term,4539.7527,5633.352400000001,-1061.4505000000004,32.14919999999995,164.56944000000004,4
CL-1013,TCASH-USD,short_term,1216.068,765.2772,450.7908,0.0,144.25305600000002,2
CL-1013,TEQ-NVDA,short_term,2085.616,1446.0196,659.4251999999999,19.8288,211.01606399999997,2
CL-1014,TBOND-24,short_term,455.6878,663.725,-208.03720000000004,0.0,0.0,1
CL-1014,TCASH-USD,short_term,13045.6173,9252.532299999999,3793.085,0.0,1799.61184,4
CL-1014,TCORP-HY,short_term,1671.7273999999998,586.5837,1085.1436999999999,0.0,347.24598399999996,4
CL-1014,TEQ-MSFT,short_term,5078.5465,3710.6081999999997,1671.5169,303.5786,534.8854080000001,7
CL-1014,TEQ-NVDA,short_term,180.5175,1464.8265000000001,0.0,1284.309,0.0,3
CL-1014,TREIT-A,short_term,460.365,2714.9408000000003,-867.0134000000003,1387.5623999999998,0.0,2
CL-1015,TBOND-24,short_term,2799.4865,6467.388900000001,-3667.9024000000004,0.0,0.0,3
CL-1015,TCASH-USD,short_term,238.83300000000003,450.534,0.0,211.70099999999996,0.0,1
CL-1015,TCORP-HY,short_term,811.3904,3740.7637,-333.7604999999999,2595.6128000000003,0.0,2
CL-1015,TEQ-NVDA,short_term,354.47040000000004,88.9984,265.47200000000004,0.0,84.95104000000002,1
CL-1015,TREIT-A,short_term,1584.8918999999999,3186.1917,-1601.2998,0.0,0.0,1
CL-1016,TCASH-USD,short_term,311.3972,1789.1440000000002,0.0,1477.7468000000001,0.0,4
CL-1016,TCORP-HY,short_term,9711.2147,13051.062600000001,56.13829999999962,3395.9862000000003,643.8597759999998,6
CL-1016,TEQ-MSFT,short_term,8844.611,9735.0409,63.46629999999982,953.8962000000001,80.951552,4
CL-1016,TEQ-NVDA,short_term,4361.975,4612.548,1250.6612,1501.2342000000003,400.211584,5
CL-1017,TCASH-USD,short_term,836.6295,105.43599999999999,731.1935,0.0,233.98192,1
CL-1017,TCORP-HY,short_term,1757.6028000000001,610.4820000000001,1147.1208,0.0,367.10784,2
CL-1017,TEQ-MSFT,short_term,668.0745,2737.3695,0.0,2069.295,0.0,1
CL-1017,TEQ-NVDA,short_term,4705.0996000000005,4499.5217999999995,1865.1588000000002,1659.5809999999997,596.850816,4
CL-1017,TREIT-A,short_term,4366.199500000001,1422.1771999999999,2944.022300000001,0.0,1027.6692480000002,2
CL-1018,TBOND-24,short_term,7723.5113,1726.4630000000002,5997.0483,0.0,1919.055456,5
CL-1018,TCASH-USD,short_term,1387.7213000000002,3185.2544,-1797.5331,0.0,0.0,2
CL-1018,TEQ-MSFT,short_term,2482.857,16656.4843,-13169.121,1004.5063,0.0,5
CL-1018,TEQ-NVDA,short_term,420.21700000000004,2269.0507,0.0,1848.8336999999997,0.0,1
CL-1019,TCORP-HY,short_term,4134.525799999999,110.5646,4023.9611999999993,0.0,1287.6675839999998,1
CL-1019,TEQ-MSFT,short_term,2945.5402999999997,6437.976699999999,-375.39559999999994,3117.0407999999998,0.0,4
CL-1019,TREIT-A,short_term,1602.722,410.51399999999995,1192.208,0.0,381.50656000000004,1
CL-1020,TCASH-USD,short_term,4552.043100000001,970.7247000000001,3581.3184000000006,0.0,1146.0218880000002,1
CL-1020,TCORP-HY,short_term,8640.737700000001,10456.0425,-409.3987999999986,1405.9059999999993,334.4885760000005,6
CL-1020,TEQ-MSFT,short_term,136.3008,678.8247,-542.5239,0.0,0.0,1
CL-1020,TEQ-NVDA,short_term,4582.2436,1440.9868000000001,3141.2567999999997,0.0,1005.2021759999999,1
CL-1021,TBOND-24,short_term,2824.1331999999998,1180.685,1643.4481999999998,0.0,525.903424,2
CL-1021,TCASH-USD,short_term,1932.437,3914.7920000000004,-1982.3550000000002,0.0,38.478335999999985,3
CL-1021,TEQ-MSFT,short_term,610.0092,719.8208,-109.8116,0.0,29.280159999999995,2
CL-1021,TEQ-NVDA,short_term,2440.1705,1711.1997999999999,728.9707000000003,0.0,233.2706240000001,2
CL-1022,TBOND-24,short_term,624.5343,690.8733,-66.33899999999994,0.0,0.0,1
CL-1022,TCASH-USD,short_term,3349.3182,870.7562999999999,2478.5619,0.0,892.2316480000001,3
CL-1022,TEQ-MSFT,short_term,1335.0176000000004,4601.4192,-3033.8812,232.5204000000001,0.0,4
CL-1022,TREIT-A,short_term,83.6036,8.177999999999999,75.4256,0.0,24.136192,1
CL-1023,TBOND-24,short_term,3630.4938,2371.1499,1259.3439000000003,0.0,402.99004800000006,3
CL-1023,TEQ-MSFT,short_term,264.365,968.5208,0.0,704.1558,0.0,2
CL-1023,TEQ-NVDA,short_term,287.5796,172.52620000000002,115.05340000000001,0.0,36.817088000000005,1
CL-1023,TREIT-A,short_term,3672.8432000000003,2008.5572000000002,1858.8248,194.53879999999992,594.823936,5
CL-1024,TBOND-24,short_term,5186.5038,3750.2495,1436.2543000000007,0.0,527.1159360000003,3
CL-1024,TCASH-USD,short_term,1432.5745000000002,13.537700000000001,1419.0368,0.0,454.09177600000004,1
CL-1024,TCORP-HY,short_term,22853.9876,20202.5154,2651.472199999999,0.0,1960.730496,8
CL-1024,TEQ-MSFT,short_term,2443.8996,546.0366,1897.8630000000003,0.0,607.3161600000001,1
CL-1024,TEQ-NVDA,short_term,1473.9306000000001,300.15000000000003,1173.7806,0.0,375.609792,2
CL-1025,TBOND-24,short_term,4607.45,108.36,4499.09,0.0,1439.7088,1
CL-1025,TCASH-USD,short_term,8766.738000000001,5541.105,3225.6330000000007,0.0,1032.2025600000002,3
CL-1025,TCORP-HY,short_term,9085.901600000001,14059.937100000001,-4974.0355,0.0,6.561280000000006,5
CL-1025,TEQ-MSFT,long_term,797.1920000000001,1698.0480000000002,-900.8560000000001,0.0,0.0,1
CL-1025,TEQ-MSFT,short_term,1388.4520000000002,2506.5504000000005,189.73059999999998,1307.8290000000002,60.713792,2
CL-1025,TEQ-NVDA,short_term,6759.0951000000005,4118.9143,2640.1808,0.0,844.8578560000001,1
CL-1026,TBOND-24,short_term,1618.7916,1254.2576000000001,364.5339999999999,0.0,116.65087999999996,1
CL-1026,TCASH-USD,short_term,6049.612499999999,3002.5796,3047.0328999999997,0.0,975.050528,2
CL-1026,TEQ-MSFT,short_term,10928.6827,2005.6236,8923.059099999999,0.0,2855.378912,3
CL-1027,TBOND-24,short_term,3161.2537999999995,1734.0747000000001,1427.1790999999994,0.0,456.69731199999984,2
CL-1027,TCASH-USD,short_term,25798.0326,7268.292500000001,18529.740100000003,0.0,5929.516832000001,8
CL-1027,TCORP-HY,short_term,9052.9759,20983.356,-1441.9769000000006,10488.4032,92.46911999999996,5
CL-1027,TEQ-NVDA,short_term,24669.500100000005,35413.9193,-8328.957400000001,2415.4618,221.00313599999998,6
CL-1028,TCASH-USD,short_term,849.9474999999999,2624.0105,-1774.063,0.0,0.0,1
CL-1028,TEQ-MSFT,short_term,2501.1792,477.20160000000004,2023.9776,0.0,647.672832,1
CL-1028,TEQ-NVDA,short_term,8142.5378,13071.3821,1557.3211999999999,6486.1655,498.34278399999994,4
CL-1029,TBOND-24,short_term,2218.4852,4339.8279999999995,-2121.3428,0.0,0.0,2
CL-1029,TCASH-USD,short_term,4347.6578,1194.5666999999999,3153.0911,0.0,1097.205728,4
CL-1029,TCORP-HY,short_term,1509.6105,485.01630000000006,1024.5942,0.0,327.870144,2
CL-1029,TEQ-MSFT,short_term,2048.5874000000003,2988.3837,58.257300000000214,998.0536,19.741152000000003,3
CL-1029,TEQ-NVDA,short_term,1809.2564,2798.9932,-989.7367999999998,0.0,73.351168,2
CL-1029,TREIT-A,short_term,1048.1298000000002,1461.6701000000003,-161.65910000000008,251.88120000000004,3.5762239999999976,4
